iupac,smiles,expt,calc,inchi,selfies,expt_cat
"4-methoxy-N,N-dimethyl-benzamide",CN(C)C(=O)c1ccc(cc1)OC,-11.01,-9.625,"InChI=1S/C10H13NO2/c1-11(2)10(12)8-4-6-9(13-3)7-5-8/h4-7H,1-3H3",[C][N][Branch1][C][C][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C],medium
methanesulfonyl chloride,CS(=O)(=O)Cl,-4.87,-6.219,"InChI=1S/CH3ClO2S/c1-5(2,3)4/h1H3",[C][S][=Branch1][C][=O][=Branch1][C][=O][Cl],large
3-methylbut-1-ene,CC(C)C=C,1.83,2.452,"InChI=1S/C5H10/c1-4-5(2)3/h4-5H,1H2,2-3H3",[C][C][Branch1][C][C][C][=C],very large
2-ethylpyrazine,CCc1cnccn1,-5.45,-5.809,"InChI=1S/C6H8N2/c1-2-6-5-7-3-4-8-6/h3-5H,2H2,1H3",[C][C][C][=C][N][=C][C][=N][Ring1][=Branch1],large
heptan-1-ol,CCCCCCCO,-4.21,-2.917,"InChI=1S/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3",[C][C][C][C][C][C][C][O],large
"3,5-dimethylphenol",Cc1cc(cc(c1)O)C,-6.27,-5.444,"InChI=1S/C8H10O/c1-6-3-7(2)5-8(9)4-6/h3-5,9H,1-2H3",[C][C][=C][C][=Branch1][=Branch2][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C],large
"2,3-dimethylbutane",CC(C)C(C)C,2.34,2.468,"InChI=1S/C6H14/c1-5(2)6(3)4/h5-6H,1-4H3",[C][C][Branch1][C][C][C][Branch1][C][C][C],very large
2-methylpentan-2-ol,CCCC(C)(C)O,-3.92,-2.779,"InChI=1S/C6H14O/c1-4-5-6(2,3)7/h7H,4-5H2,1-3H3",[C][C][C][C][Branch1][C][C][Branch1][C][C][O],large
"1,2-dimethylcyclohexane",C[C@@H]1CCCC[C@@H]1C,1.58,1.685,"InChI=1S/C8H16/c1-7-5-3-4-6-8(7)2/h7-8H,3-6H2,1-2H3/t7-,8+",[C][C@@H1][C][C][C][C][C@@H1][Ring1][=Branch1][C],very large
butan-2-ol,CC[C@H](C)O,-4.62,-3.145,"InChI=1S/C4H10O/c1-3-4(2)5/h4-5H,3H2,1-2H3/t4-/m0/s1",[C][C][C@H1][Branch1][C][C][O],large
dibromomethane,C(Br)Br,-1.96,-0.405,InChI=1S/CH2Br2/c2-1-3/h1H2,[C][Branch1][C][Br][Br],very large
2-methylpentan-3-ol,CC[C@H](C(C)C)O,-3.88,-2.416,"InChI=1S/C6H14O/c1-4-6(7)5(2)3/h5-7H,4H2,1-3H3/t6-/m1/s1",[C][C][C@H1][Branch1][=Branch1][C][Branch1][C][C][C][O],large
2-ethylpyridine,CCc1ccccn1,-4.33,-3.31,"InChI=1S/C7H9N/c1-2-7-5-3-4-6-8-7/h3-6H,2H2,1H3",[C][C][C][=C][C][=C][C][=N][Ring1][=Branch1],large
ethyl pentanoate,CCCCC(=O)OCC,-2.49,-3.11,"InChI=1S/C7H14O2/c1-3-5-6-7(8)9-4-2/h3-6H2,1-2H3",[C][C][C][C][C][=Branch1][C][=O][O][C][C],large
benzenethiol,c1ccc(cc1)S,-2.55,-1.501,"InChI=1S/C6H6S/c7-6-4-2-1-3-5-6/h1-5,7H",[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][S],large
"(2Z)-3,7-dimethylocta-2,6-dien-1-ol",CC(=CCC/C(=C\CO)/C)C,-4.78,-2.597,"InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7-",[C][C][=Branch1][O][=C][C][C][/C][=Branch1][Ring2][=C][\C][O][/C][C],large
indane,c1ccc2c(c1)CCC2,-1.46,-1.752,"InChI=1S/C9H10/c1-2-5-9-7-3-6-8(9)4-1/h1-2,4-5H,3,6-7H2",[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][C][Ring1][=Branch1],very large
ethoxybenzene,CCOc1ccccc1,-2.22,-2.254,"InChI=1S/C8H10O/c1-2-9-8-6-4-3-5-7-8/h3-7H,2H2,1H3",[C][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1],very large
4-bromophenol,c1cc(ccc1O)Br,-5.85,-5.833,"InChI=1S/C6H5BrO/c7-5-1-3-6(8)4-2-5/h1-4,8H",[C][=C][C][=Branch1][#Branch1][=C][C][=C][Ring1][=Branch1][O][Br],large
"2,2-dimethylpentane",CCCC(C)(C)C,2.88,2.686,"InChI=1S/C7H16/c1-5-6-7(2,3)4/h5-6H2,1-4H3",[C][C][C][C][Branch1][C][C][Branch1][C][C][C],very large
2-acetoxyethyl acetate,CC(=O)OCCOC(=O)C,-6.34,-8.292,"InChI=1S/C6H10O4/c1-5(7)9-3-4-10-6(2)8/h3-4H2,1-2H3",[C][C][=Branch1][C][=O][O][C][C][O][C][=Branch1][C][=O][C],large
ethion,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-6.1,-10.644,"InChI=1S/C9H22O4P2S4/c1-5-10-14(16,11-6-2)18-9-19-15(17,12-7-3)13-8-4/h5-9H2,1-4H3",[C][C][O][P][=Branch1][C][=S][Branch1][Ring2][O][C][C][S][C][S][P][=Branch1][C][=S][Branch1][Ring2][O][C][C][O][C][C],large
cycloheptanol,C1CCCC(CC1)O,-5.48,-4.345,"InChI=1S/C7H14O/c8-7-5-3-1-2-4-6-7/h7-8H,1-6H2",[C][C][C][C][C][Branch1][Branch1][C][C][Ring1][#Branch1][O],large
methyl cyclopropanecarboxylate,COC(=O)C1CC1,-4.1,-3.604,"InChI=1S/C5H8O2/c1-7-5(6)4-2-3-4/h4H,2-3H2,1H3",[C][O][C][=Branch1][C][=O][C][C][C][Ring1][Ring1],large
benzonitrile,c1ccc(cc1)C#N,-4.1,-3.238,InChI=1S/C7H5N/c8-6-7-4-2-1-3-5-7/h1-5H,[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][#N],large
pentanenitrile,CCCCC#N,-3.52,-2.147,"InChI=1S/C5H9N/c1-2-3-4-5-6/h2-4H2,1H3",[C][C][C][C][C][#N],large
2-methylpropan-2-ol,CC(C)(C)O,-4.47,-3.288,"InChI=1S/C4H10O/c1-4(2,3)5/h5H,1-3H3",[C][C][Branch1][C][C][Branch1][C][C][O],large
"2,4-dimethylpentan-3-one",CC(C)C(=O)C(C)C,-2.74,-2.629,"InChI=1S/C7H14O/c1-5(2)7(8)6(3)4/h5-6H,1-4H3",[C][C][Branch1][C][C][C][=Branch1][C][=O][C][Branch1][C][C][C],large
propanal,CCC=O,-3.43,-3.148,"InChI=1S/C3H6O/c1-2-3-4/h3H,2H2,1H3",[C][C][C][=O],large
"N,N-dimethylformamide",CN(C)C=O,-7.81,-6.932,"InChI=1S/C3H7NO/c1-4(2)3-5/h3H,1-2H3",[C][N][Branch1][C][C][C][=O],large
p-xylene,Cc1ccc(cc1)C,-0.8,-0.658,"InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3",[C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C],very large
"penta-1,4-diene",C=CCC=C,0.93,2.357,"InChI=1S/C5H8/c1-3-5-4-2/h3-4H,1-2,5H2",[C][=C][C][C][=C],very large
