CMPD_CHEMBLID,exp,smiles,inchi,selfies,exp_cat
CHEMBL596271,3.54,Cn1c(CN2CCN(CC2)c3ccc(Cl)cc3)nc4ccccc14,"InChI=1S/C19H21ClN4/c1-22-18-5-3-2-4-17(18)21-19(22)14-23-10-12-24(13-11-23)16-8-6-15(20)7-9-16/h2-9H,10-14H2,1H3",[C][N][C][Branch2][Ring1][#Branch1][C][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][=N][C][=C][C][=C][C][=C][Ring2][Ring1][#Branch1][Ring1][=Branch1],very large
CHEMBL1951080,-1.18,COc1cc(OC)c(cc1NC(=O)CSCC(=O)O)S(=O)(=O)N2C(C)CCc3ccccc23,"InChI=1S/C22H26N2O7S2/c1-14-8-9-15-6-4-5-7-17(15)24(14)33(28,29)20-10-16(18(30-2)11-19(20)31-3)23-21(25)12-32-13-22(26)27/h4-7,10-11,14H,8-9,12-13H2,1-3H3,(H,23,25)(H,26,27)",[C][O][C][=C][C][Branch1][Ring1][O][C][=C][Branch2][Ring1][C][C][=C][Ring1][Branch2][N][C][=Branch1][C][=O][C][S][C][C][=Branch1][C][=O][O][S][=Branch1][C][=O][=Branch1][C][=O][N][C][Branch1][C][C][C][C][C][=C][C][=C][C][=C][Ring1][O][Ring1][=Branch1],very small
CHEMBL1771,3.69,COC(=O)[C@@H](N1CCc2sccc2C1)c3ccccc3Cl,"InChI=1S/C16H16ClNO2S/c1-20-16(19)15(12-4-2-3-5-13(12)17)18-8-6-14-11(10-18)7-9-21-14/h2-5,7,9,15H,6,8,10H2,1H3/t15-/m0/s1",[C][O][C][=Branch1][C][=O][C@@H1][Branch1][=C][N][C][C][C][S][C][=C][C][=Ring1][Branch1][C][Ring1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl],very large
CHEMBL234951,3.37,OC[C@H](O)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3,"InChI=1S/C19H18ClN3O4S/c20-16-7-11-6-13(22-18(11)28-16)17(26)21-14-5-10-3-1-2-4-15(10)23(19(14)27)8-12(25)9-24/h1-4,6-7,12,14,22,24-25H,5,8-9H2,(H,21,26)/t12-,14?/m1/s1",[O][C][C@H1][Branch1][C][O][C][N][C][=Branch1][C][=O][C][Branch1][N][C][C][=C][C][=C][C][=C][Ring1][O][Ring1][=Branch1][N][C][=Branch1][C][=O][C][=C][C][C][=C][Branch1][C][Cl][S][C][=Ring1][=Branch1][NH1][Ring1][=Branch2],very large
CHEMBL565079,3.1,Cc1cccc(C[C@H](NC(=O)c2cc(nn2C)C(C)(C)C)C(=O)NCC#N)c1,"InChI=1S/C21H27N5O2/c1-14-7-6-8-15(11-14)12-16(19(27)23-10-9-22)24-20(28)17-13-18(21(2,3)4)25-26(17)5/h6-8,11,13,16H,10,12H2,1-5H3,(H,23,27)(H,24,28)/t16-/m0/s1",[C][C][=C][C][=C][C][Branch2][Ring2][Branch1][C][C@H1][Branch2][Ring1][Branch2][N][C][=Branch1][C][=O][C][=C][C][=Branch1][=Branch1][=N][N][Ring1][Branch1][C][C][Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][N][C][C][#N][=C][Ring2][Ring1][O],large
CHEMBL317462,3.14,OC1(CN2CCC1CC2)C#Cc3ccc(cc3)c4ccccc4,"InChI=1S/C21H21NO/c23-21(16-22-14-11-20(21)12-15-22)13-10-17-6-8-19(9-7-17)18-4-2-1-3-5-18/h1-9,20,23H,11-12,14-16H2",[O][C][Branch1][N][C][N][C][C][C][Ring1][=Branch1][C][C][Ring1][=Branch1][C][#C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],large
CHEMBL1951182,-0.72,COc1cc(OC)c(cc1NC(=O)CCC(=O)O)S(=O)(=O)NCc2ccccc2N3CCCCC3,"InChI=1S/C24H31N3O7S/c1-33-20-15-21(34-2)22(14-18(20)26-23(28)10-11-24(29)30)35(31,32)25-16-17-8-4-5-9-19(17)27-12-6-3-7-13-27/h4-5,8-9,14-15,25H,3,6-7,10-13,16H2,1-2H3,(H,26,28)(H,29,30)",[C][O][C][=C][C][Branch1][Ring1][O][C][=C][Branch1][P][C][=C][Ring1][Branch2][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][O][S][=Branch1][C][=O][=Branch1][C][=O][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][C][C][C][C][Ring1][=Branch1],very small
CHEMBL2030960,0.34,CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2C)n1,"InChI=1S/C25H25Cl2N3O4/c1-15-13-16(9-10-21(15)34-12-11-17-5-3-8-22(28-2)29-17)14-20(25(32)33)30-24(31)23-18(26)6-4-7-19(23)27/h3-10,13,20H,11-12,14H2,1-2H3,(H,28,29)(H,30,31)(H,32,33)/t20-/m0/s1",[C][N][C][=C][C][=C][C][Branch2][Ring2][N][C][C][O][C][=C][C][=C][Branch2][Ring1][N][C][C@H1][Branch2][Ring1][C][N][C][=Branch1][C][=O][C][=C][Branch1][C][Cl][C][=C][C][=C][Ring1][#Branch1][Cl][C][=Branch1][C][=O][O][C][=C][Ring2][Ring1][=Branch1][C][=N][Ring2][Ring1][S],small
CHEMBL13097,3.05,COc1ccc(cc1)C2=COc3cc(OC)cc(OC)c3C2=O,"InChI=1S/C18H16O5/c1-20-12-6-4-11(5-7-12)14-10-23-16-9-13(21-2)8-15(22-3)17(16)18(14)19/h4-10H,1-3H3",[C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][O][C][=C][C][Branch1][Ring1][O][C][=C][C][Branch1][Ring1][O][C][=C][Ring1][#Branch2][C][Ring1][=C][=O],large
CHEMBL1527751,2.25,Oc1ncnc2scc(c3ccsc3)c12,"InChI=1S/C10H6N2OS2/c13-9-8-7(6-1-2-14-3-6)4-15-10(8)12-5-11-9/h1-5H,(H,11,12,13)",[O][C][=N][C][=N][C][S][C][=C][Branch1][Branch2][C][C][=C][S][C][=Ring1][Branch1][C][Ring1][=C][=Ring1][#Branch2],large
CHEMBL1940306,1.51,CS(=O)(=O)c1ccc(Oc2ccc(cc2)C#C[C@]3(O)CN4CCC3CC4)cc1,"InChI=1S/C22H23NO4S/c1-28(25,26)21-8-6-20(7-9-21)27-19-4-2-17(3-5-19)10-13-22(24)16-23-14-11-18(22)12-15-23/h2-9,18,24H,11-12,14-16H2,1H3/t22-/m0/s1",[C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][=N][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][#C][C@][Branch1][C][O][C][N][C][C][C][Ring1][#Branch1][C][C][Ring1][=Branch1][C][=C][Ring2][Ring1][Branch2],medium
