,smiles,string,deltaGmin,A2_normalized,deltaGmin_cat,A2_normalized_cat,num_[W],max_[W],num_[Tr],max_[Tr],num_[Ta],max_[Ta],num_[R],max_[R],[W],[W],[Tr],[Tr],[Ta],[Ta],[R],[R],rel_shannon,length
0,[W][Ta][Tr][W][W][Ta][Ta][Ta][R][W][Tr][Tr][R][R][Tr][R],W-A-B-W-W-A-A-A-R-W-B-B-R-R-B-R,-7.535286244444447,-0.1097263175607107,very large,very small,0.25,2,0.25,2,0.25,3,0.25,2,4.0,0.25,4.0,0.25,4.0,0.25,4.0,0.25,0.5,16
1,[R][W][W][R][R][Tr][Tr][Tr][Ta][Ta][Ta][W][W][Ta][R][Tr],R-W-W-R-R-B-B-B-A-A-A-W-W-A-R-B,-7.270527222222221,0.5805952964673528,very large,very large,0.4,2,0.2,3,0.2,3,0.2,2,4.0,0.25,4.0,0.25,4.0,0.25,4.0,0.25,0.5,16
2,[Ta][R][Ta][W][Tr][W][Ta][R][Tr][W][Ta][Tr][Tr][R][W][R],A-R-A-W-B-W-A-R-B-W-A-B-B-R-W-R,-6.416311311111111,0.956320032391147,very large,very large,0.0,0,1.0,2,0.0,0,0.0,0,4.0,0.25,4.0,0.25,4.0,0.25,4.0,0.25,0.5,16
3,[W][Ta][R][Ta][Tr][Tr][Tr][W][Ta][W][Tr][R][Ta][W][R][R],W-A-R-A-B-B-B-W-A-W-B-R-A-W-R-R,-6.684815644444439,1.129923764188148,very large,very large,0.0,0,0.5,3,0.0,0,0.5,2,4.0,0.25,4.0,0.25,4.0,0.25,4.0,0.25,0.5,16
4,[R][R][Tr][Tr][W][R][Ta][W][R][W][Ta][Tr][Ta][Ta][W][Tr],R-R-B-B-W-R-A-W-R-W-A-B-A-A-W-B,-6.606492355555552,-0.4964394056773314,very large,very small,0.0,0,0.3333333333333333,2,0.3333333333333333,2,0.3333333333333333,2,4.0,0.25,4.0,0.25,4.0,0.25,4.0,0.25,0.5,16
5,[W][Tr][Tr][Ta][W][Ta][W][W][Ta][R][W][R][Tr][R][W][Tr][Ta][R],W-B-B-A-W-A-W-W-A-R-W-R-B-R-W-B-A-R,-6.210183644444443,0.0323051751912103,very large,small,0.5,2,0.5,2,0.0,0,0.0,0,6.0,0.3333333333333333,4.0,0.2222222222222222,4.0,0.2222222222222222,4.0,0.2222222222222222,0.4736146334811361,18
6,[W][W][Tr][W][R][Tr][R][Ta][W][Tr][Ta][Ta][W][R][W][Tr][Ta][R],W-W-B-W-R-B-R-A-W-B-A-A-W-R-W-B-A-R,-6.616805355555557,0.6294408662898847,very large,very large,0.5,2,0.0,0,0.5,2,0.0,0,6.0,0.3333333333333333,4.0,0.2222222222222222,4.0,0.2222222222222222,4.0,0.2222222222222222,0.4736146334811361,18
7,[Tr][Tr][Ta][Tr][Ta][W][R][W][R][W][Tr][R][W][Ta][W][W][Ta][R],B-B-A-B-A-W-R-W-R-W-B-R-W-A-W-W-A-R,-5.5528067555555545,0.4422233381172772,very large,very large,0.5,2,0.5,2,0.0,0,0.0,0,6.0,0.3333333333333333,4.0,0.2222222222222222,4.0,0.2222222222222222,4.0,0.2222222222222222,0.4736146334811361,18
8,[R][W][R][Ta][R][Ta][Tr][W][W][W][Tr][Tr][W][W][Ta][Tr][Ta][R],R-W-R-A-R-A-B-W-W-W-B-B-W-W-A-B-A-R,-6.361648266666666,-0.1792139990487785,very large,very small,0.6666666666666666,3,0.3333333333333333,2,0.0,0,0.0,0,6.0,0.3333333333333333,4.0,0.2222222222222222,4.0,0.2222222222222222,4.0,0.2222222222222222,0.4736146334811361,18
9,[Tr][Tr][W][W][Tr][W][R][Ta][Ta][Tr][Ta][W][Ta][R][R][R][W][W],B-B-W-W-B-W-R-A-A-B-A-W-A-R-R-R-W-W,-6.6253376444444445,0.0984987534594572,very large,medium,0.4,2,0.2,2,0.2,2,0.2,3,6.0,0.3333333333333333,4.0,0.2222222222222222,4.0,0.2222222222222222,4.0,0.2222222222222222,0.4736146334811361,18
10,[R][W][R][R][Tr][W][Ta][W][R][Ta][Ta][W][W][W][Tr][Tr][W][Tr][W][Ta],R-W-R-R-B-W-A-W-R-A-A-W-W-W-B-B-W-B-W-A,-5.746780800000008,0.2697963038451368,very large,very large,0.25,3,0.25,2,0.25,2,0.25,2,8.0,0.4,4.0,0.2,4.0,0.2,4.0,0.2,0.4446922884165779,20
11,[W][R][W][Tr][R][R][W][W][Tr][W][W][Tr][Ta][Ta][Tr][W][W][Ta][R][Ta],W-R-W-B-R-R-W-W-B-W-W-B-A-A-B-W-W-A-R-A,-6.199177400000003,0.4412093918849453,very large,very large,0.6,2,0.0,0,0.2,2,0.2,2,8.0,0.4,4.0,0.2,4.0,0.2,4.0,0.2,0.4446922884165779,20
