common name,activated formula unita,confidence,stability,normalized_names
Bio-MOF-14 (95),Co2(AD)2(C4H9CO2)2,high,high,Co2(9H-purin-6-amine)2(oxalate)2
"MIL-101(Cr) (28, 44, 49-51, 53, 62, 167)",Cr3F(H2O)2O(BDC)3,high,high,"Cr3F(H2O)2O(1,4-benzenedicarboxylate)3"
"MIL-101-SO3H (Cr) (51, 301)",Cr3F(H2O)2O(BDC-SO3H)3,high,high,"Cr3F(H2O)2O(1,4-benzenedicarboxylate-SO3H)3"
"MIL-96(Al) (299, 302)",Al12O(OH)18(H2O)3(Al2(OH)4)(BTC)6,high,high,"Al12O(OH)18(H2O)3(Al2(OH)4)(1,3,5-benzenetricarboxylate)6"
N/A (261),Ni3(BTP)2,high,high,"Ni3(1,3,5-tris(1H-pyrazol-4-yl)benzene)2"
PCN-222(Fe) (264),&nbsp;,high,high,"Fe(OH)(H2O)(Cl)(μ-4,4’,4’’,4’’’-(porphyrinato-5,10,15,20-tetrayl)tetrabenzoato)"
"ZIF-8 (28, 62, 63, 105, 293)",Zn(MEIM)2,high,high,Zn(2-methylimidazole)2
Al-PMOF (303),TCPP(AlOH)2,medium,high,meso-tetra(4-carboxyl-phenyl)porphyrin(AlOH)2
JUC-110 (93),Cd(HTHIPC)2,medium,high,"Cd(H(S)-4,5,6,7-tetrahydro-1H-imidazo[4,5-c]pyridine-6-carboxylate)2"
"MIL-100(Cr) (38, 39, 63)","Cr3OX(BTC)2, X&nbsp;=&nbsp;OH,&nbsp;F",medium,high,"Cr3O(OH)(1,3,5-benzenetricarboxylate)2"
"MIL-100(Cr) (38, 39, 63)","Cr3OX(BTC)2, X&nbsp;=&nbsp;OH,&nbsp;F",medium,high,"Cr3O(F)(1,3,5-benzenetricarboxylate)2"
MONT1 (304),Cu2(PCP)2BIPY,medium,high,"Cu2(P,P′-diphenylmethylenediphosphinate)24,4′-bipyridine"
N/A (305),Pb2(PTPTP)2(H2O)2,medium,high,"Pb2(2-(5–6-[5-(pyrazin-2-yl)-1H-1,2,4-triazol-3-yl]-pyridin-2-yl-1H-1,2,4-triazol-3-yl)pyridine)2(H2O)2"
N/A (305),Pb2(p-PDA)(PTPTP)2,medium,high,"Pb2(p-phenylenediacetate)(2-(5–6-[5-(pyrazin-2-yl)-1H-1,2,4-triazol-3-yl]-pyridin-2-yl-1H-1,2,4-triazol-3-yl)pyridine)2"
N/A (305),Pb4(o-PDA)2(PTPTP)2,medium,high,"Pb4(o-phenylenediacetate)2(2-(5–6-[5-(pyrazin-2-yl)-1H-1,2,4-triazol-3-yl]-pyridin-2-yl-1H-1,2,4-triazol-3-yl)pyridine)2"
LaBTB (281),La(BTB)H2O,low,high,"La(3,5-bis(2H-tetrazol-5-yl)-benzoate)H2O"
N/A (297),H3(Cu4Cl)3(BTTRI)8,low,high,"H3(Cu4Cl)3(1,3,5-tris(1H-1,2,3-triazol-5-yl)benzene)8"
N/A (260),"Zn(1,4-BDP)",low,high,"Zn(1,4-benzenedi(4-pyrazolyl))"
N/A (260),"Zn(1,3-BDP)",low,high,"Zn(1,3-benzenedi(4-pyrazolyl))"
N/A (261),Cu3(BTP)2,low,high,"Cu3(1,3,5-tris(1H-pyrazol-4-yl)benzene)2"
N/A (261),Zn3(BTP)2,low,high,"Zn3(1,3,5-tris(1H-pyrazol-4-yl)benzene)2"
N/A (298),Cu2(TCMBT)(BPP)(μ3-OH),low,high,"Cu2(N,N′,N″-tris(carboxymethyl)-1,3,5-benzenetricarboxamide)(1,3-bis(4-pyridyl)propane)(μ3-OH)"
NOTT-300 (300),Al2(OH)2(H4L),low,high,"Al2(OH)2(biphenyl-3,3′,5,5′-tetracarboxylate)"
PCMOF-5 (306),La(H5L5)(H2O)4,low,high,"La(H51,2,4,5-tetrakisphosphonomethylbenzene)(H2O)4"
SNU-80 (82),Cu4(Me3CCOO)8(TEIA),low,high,"Cu4(2,2-dimethylpropanoate)8(1,3,5,7-tetrakis(4-(2-ethyl-1H-imidazol-1-yl)phenyl)-ane)"
CALF-25 (60),BaH2L,high,high,"Ba(tetraethyl-1,3,6,8-pyrenetetraphosponate)"
CAU-10 (110),Al(OH)(ISO),high,high,Al(OH)(isophthalate)
DUT-51(Hf) (55),Hf6O6(OH)2(DTTDC)4,high,high,"Hf6O6(OH)2(dithieno[3,2-b;2′,3′-d]-thiophene-2,6-dicarboxylate)4"
DUT-51(Zr) (55),Zr6O6(OH)2(DTTDC)4,high,high,"Zr6O6(OH)2(dithieno[3,2-b;2′,3′-d]-thiophene-2,6-dicarboxylate)4"
"DUT-67(Zr) (56, 110)",Zr6O6(OH)2(TDC)4,high,high,"Zr6O6(OH)2(2,5-thiophenedicarboxylate)4"
FMOF-1 (92),Ag(TZ),high,high,"Ag(3,5-bis(trifluoromethyl)-1,2,4-triazolate)"
"MIL-100(Al) (37, 299)","Al3OX(H2O)2(BTC)2, X&nbsp;=&nbsp;F,&nbsp;OH",high,high,"Al3O(OH)(H2O)2(1,3,5-benzenetricarboxylate)2"
"MIL-100(Al) (37, 299)","Al3OX(H2O)2(BTC)2, X&nbsp;=&nbsp;F,&nbsp;OH",high,high,"Al3O(F)(H2O)2(1,3,5-benzenetricarboxylate)2"
"MIL-100(Fe) (28, 37, 41, 42, 44)","Fe3OX(H2O)2(BTC)2, X&nbsp;=&nbsp;F,&nbsp;OH",high,high,"Fe3O(F)(H2O)2(1,3,5-benzenetricarboxylate)2"
"MIL-100(Fe) (28, 37, 41, 42, 44)","Fe3OX(H2O)2(BTC)2, X&nbsp;=&nbsp;F,&nbsp;OH",high,high,"Fe3O(OH)(H2O)2(1,3,5-benzenetricarboxylate)2"
"MIL-101-NH2(Cr) (51, 52)",Cr3F(H2O)2O(BDC-NH2)3,high,high,"Cr3F(H2O)2O(1,4-benzenedicarboxylate-NH2)3"
MIL-125-NH2(Ti) (46-48),Ti8O8(OH)4(BDC-NH2)6,high,high,"Ti8O8(OH)4(1,4-benzenedicarboxylate-NH2)6"
MIL-127 (42),"Fe6O2(TAZB)3X2, X&nbsp;=&nbsp;Cl,&nbsp;OH",high,high,"Fe6O2(3,3′,5,5′-azobenzenetetracarboxylate)3(Cl)2"
MIL-127 (42),"Fe6O2(TAZB)3X2, X&nbsp;=&nbsp;Cl,&nbsp;OH",high,high,"Fe6O2(3,3′,5,5′-azobenzenetetracarboxylate)3(OH)2"
"MIL-53(Al) (62, 268, 307)",Al(OH)(BDC),high,high,"Al(OH)(1,4-benzenedicarboxylate)"
MIL-53(Cr) (268),Cr(OH)BDC,high,high,"Cr(OH)1,4-benzenedicarboxylate"
MOF-525 (265),Zr6O4(OH)4(TCPP-H2)3,high,high,Zr6O4(OH)4(meso-tetra(4-carboxyl-phenyl)porphyrin-H2)3
MOF-545 (265),Zr6O8(H2O)8(TCPP-H2)2,high,high,Zr6O8(H2O)8(meso-tetra(4-carboxyl-phenyl)porphyrin-H2)2
MOF-801-P (110),Zr6O4(OH)4(FUM)6,high,high,Zr6O4(OH)4(fumarate)6
MOF-801-SC (110),Zr6O4(OH)4(FUM)6,high,high,Zr6O4(OH)4(fumarate)6
MOF-802 (110),Zr6O4(OH)4(PZDC4)5(HCOO)2(H2O)2,high,high,"Zr6O4(OH)4(1H-pyrazole-3,5-dicarboxylate4)5(HCOO)2(H2O)2"
MOF-804 (110),Zr6O4(OH)4(BDC-(OH)2)6,high,high,"Zr6O4(OH)4(1,4-benzenedicarboxylate-(OH)2)6"
MOF-841 (110),Zr6O4(OH)4(MTB)2(HCOO)4(H2O)4,high,high,"Zr6O4(OH)4(4,4′,4″,4‴-methanetetrayltetrabenzoate)2(HCOO)4(H2O)4"
N/A (80),Ni8(OH)4(H2O)2(L6)6,high,high,Ni8(OH)4(H2O)2(1H-pyrazole-4-carboxylate)6
N/A (80),Ni8(OH)4(H2O)2(L8)6,high,high,"Ni8(OH)4(H2O)2(4,4′-benzene-1,4-diylbis(1H-pyrazole))6"
N/A (80),Ni8(OH)4(H2O)2(L9)6,high,high,"Ni8(OH)4(H2O)2(4,4′-buta-1,3-diyne-1,4-diylbis(1H-pyrazole))6"
N/A (80),Ni8(OH)4(H2O)2(L10)6,high,high,Ni8(OH)4(H2O)2(2-((pyridin-4-yl)methylamino)-4-methylpentanoate0)6
N/A (80),Ni8(OH)4(H2O)2(L10-(CH3)2)6,high,high,Ni8(OH)4(H2O)2(2-((pyridin-4-yl)methylamino)-4-methylpentanoate0-(CH3)2)6
N/A (80),Ni8(OH)4(H2O)2(L10-(CF3)2)6,high,high,Ni8(OH)4(H2O)2(2-((pyridin-4-yl)methylamino)-4-methylpentanoate0-(CF3)2)6
N/A (61),Zn2(BTC)(OH)-(H2O),high,high,"Zn2(1,3,5-benzenetricarboxylate)(OH)-(H2O)"
N/A (89),Zn(L14)(L15),high,high,Zn(2-((pyridin-4-yl)methylamino)-4-methylpentanoate4)(2-((pyridin-4-yl)methylamino)-4-methylpentanoate5)
Ni-NIC (292),Ni2(NIC)4(lH2O),high,high,Ni2(Pyridine-3-carboxylate)4(lH2O)
NU-1000 (283),Zr6(OH)16(TBAPY)2,high,high,"Zr6(OH)16(1,3,6,8-tetrakis(p-benzoate)pyrene)2"
PCN-225(M) (192),Zr6O4(OH)4(OH)4(H2O)4(MTCPP)2,high,high,Zr6O4(OH)4(OH)4(H2O)4(Mmeso-tetra(4-carboxyl-phenyl)porphyrin)2
"SCUTC-18 (308, 309)","Zn2(BDC)2(2,2′-dimethyl-BPY)",high,high,"Zn2(1,4-benzenedicarboxylate)2(2,2′-dimethyl-4,4′-bipyridine)"
"UiO-66 (31, 41, 42, 58, 98, 101, 110, 310)",Zr6O6(BDC)12,high,high,"Zr6O6(1,4-benzenedicarboxylate)12"
UiO-66-MM (99),Zr6O6(BDC-CH3)12,high,high,"Zr6O6(1,4-benzenedicarboxylate-CH3)12"
"UiO-66-NH2 (31, 42, 47, 97, 98, 311)",Zr6O6(BDC-NH2)12,high,high,"Zr6O6(1,4-benzenedicarboxylate-NH2)12"
Zn-DMOF-A (75),"Zn2(1,4-ADC)2(DABCO)",high,high,"Zn2(1,4-9H-purin-6-amineC)2(4-diazabicyclo[2.2.2]-octane)"
"Zn-DMOF-TM (75, 76)",Zn2(BDC-(CH3)4)2(DABCO),high,high,"Zn2(1,4-benzenedicarboxylate-(CH3)4)2(4-diazabicyclo[2.2.2]-octane)"
Zn-MOF-508 (77),Zn2(BDC)2(BPY),high,high,"Zn2(1,4-benzenedicarboxylate)2(4,4′-bipyridine)"
