qmof_id,name_x,info.formula,info.formula_reduced,info.mofid.mofid,info.mofid.mofkey,info.mofid.smiles_nodes,info.mofid.smiles_linkers,info.mofid.smiles,info.mofid.topology,info.natoms,info.pld,info.lcd,info.density,info.volume,info.symmetry.spacegroup,info.symmetry.spacegroup_number,info.symmetry.spacegroup_crystal,info.symmetry.pointgroup,info.synthesized,info.source,info.doi,inputs.pbe.theory,inputs.pbe.pseudopotentials,inputs.pbe.encut,inputs.pbe.kpoints,inputs.pbe.gamma,inputs.pbe.spin,outputs.pbe.energy_total,outputs.pbe.energy_vdw,outputs.pbe.energy_elec,outputs.pbe.net_magmom,outputs.pbe.bandgap,outputs.pbe.cbm,outputs.pbe.vbm,outputs.pbe.directgap,outputs.pbe.bandgap_spins,outputs.pbe.cbm_spins,outputs.pbe.vbm_spins,outputs.pbe.directgap_spins,inputs.hle17.theory,inputs.hle17.pseudopotentials,inputs.hle17.encut,inputs.hle17.kpoints,inputs.hle17.gamma,inputs.hle17.spin,inputs.hse06_10hf.theory,inputs.hse06_10hf.pseudopotentials,inputs.hse06_10hf.encut,inputs.hse06_10hf.kpoints,inputs.hse06_10hf.gamma,inputs.hse06_10hf.spin,inputs.hse06.theory,inputs.hse06.pseudopotentials,inputs.hse06.encut,inputs.hse06.kpoints,inputs.hse06.gamma,inputs.hse06.spin,outputs.hle17.energy_total,outputs.hle17.energy_vdw,outputs.hle17.energy_elec,outputs.hle17.net_magmom,outputs.hle17.bandgap,outputs.hle17.cbm,outputs.hle17.vbm,outputs.hle17.directgap,outputs.hle17.bandgap_spins,outputs.hle17.cbm_spins,outputs.hle17.vbm_spins,outputs.hle17.directgap_spins,outputs.hse06_10hf.energy_total,outputs.hse06_10hf.energy_vdw,outputs.hse06_10hf.energy_elec,outputs.hse06_10hf.net_magmom,outputs.hse06_10hf.bandgap,outputs.hse06_10hf.cbm,outputs.hse06_10hf.vbm,outputs.hse06_10hf.directgap,outputs.hse06_10hf.bandgap_spins,outputs.hse06_10hf.cbm_spins,outputs.hse06_10hf.vbm_spins,outputs.hse06_10hf.directgap_spins,outputs.hse06.energy_total,outputs.hse06.energy_vdw,outputs.hse06.energy_elec,outputs.hse06.net_magmom,outputs.hse06.bandgap,outputs.hse06.cbm,outputs.hse06.vbm,outputs.hse06.directgap,outputs.hse06.bandgap_spins,outputs.hse06.cbm_spins,outputs.hse06.vbm_spins,outputs.hse06.directgap_spins,id,name_y,CO2 Henry coefficient,CO2 adsorption energy,N2 Henry coefficient,N2 adsorption energy,CO2 parasitic energy (coal),Gravimetric working capacity (coal),Volumetric working capacity (coal),CO2 parasitic energy (nat. gas),Gravimetric working capacity (nat. gas),Volumetric working capacity (nat. gas),Final CO2 purity (nat. gas),CH4 Henry coefficient,CH4 adsorption energy,"Enthalphy of Adsorption @ 5.8 bar, 298K",Enthalphy of Adsorption @ 65bar/298K,Working capacity vol. (5.8-65bar/298K),Working capacity mol. (5.8-65bar/298K),Working capacity fract. (5.8-65bar/298K),Working capacity wt% (5.8-65bar/298K),O2 Henry coefficient,O2 adsorption energy,"Enthalphy of Adsorption @ 5 bar, 298K",Enthalphy of Adsorption @ 140bar/298K,Working capacity vol. (5-140bar/298K),Working capacity mol. (5-140bar/298K),Working capacity fract. (5-140bar/298K),Working capacity wt% (5-140bar/298K),Xe Henry coefficient,Xe adsorption energy,Kr Henry coefficient,Kr adsorption energy,Xe/Kr selectivity @ 298K,Working capacity g/L (5-100bar/298-198K),Working capacity g/L (5-100bar/77K),Working capacity g/L (1-100bar/77K),Working capacity wt% (5-100bar/298-198K),Working capacity wt% (5-100bar/77K),Working capacity wt% (1-100bar/77K),H2S Henry coefficient,H2S adsorption energy,H2O Henry coefficient,H2O adsorption energy,H2S/H2O selectivity @ 298K,CH4/N2 selectivity @ 298K,clean_name,CO2 Henry coefficient_binned,N2 Henry coefficient_binned,CH4 Henry coefficient_binned,O2 Henry coefficient_binned,Xe Henry coefficient_binned,Kr Henry coefficient_binned,H2S Henry coefficient_binned,H2O Henry coefficient_binned,outputs.pbe.bandgap_binned
qmof-7a7e541,ACAJOF_FSR,Cu8C92H104N8O32,Cu2C23H26N2O8,C(Cc1ccncc1)Cc1ccncc1.[Cu][Cu].[O-]C(=O)CCCC(=O)[O-] MOFid-v1.rob.cat0,Cu.JFCQEDHGNNZCLN.OGNCVVRIKNGJHQ.MOFkey-v1.rob,['[Cu][Cu]'],"['C(Cc1ccncc1)Cc1ccncc1', '[O-]C(=O)CCCC(=O)[O-]']",C(Cc1ccncc1)Cc1ccncc1.[Cu][Cu].[O-]C(=O)CCCC(=O)[O-],rob,244,5.71608,6.31984,1.2470793457951186,3118.755411414031,Pccn,56,orthorhombic,mmm,True,CSD,https://doi.org/10.1039/c2dt31427d,PBE-D3BJ,"['Cu 22Jun2005', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 1, 1]",True,True,-1545.09274774,-16.27973,-1528.81301774,0.0,0.392395,-0.220421,-0.612816,False,"[0.392397, 0.39253499999999997]","[-0.220419, -0.220421]","[-0.612816, -0.612956]","[False, False]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MATV3NGX7YZDJ,qmof_chunks/chunk_19/qmof-7a7e541.cif,3.14232e-05,-22.6913326796,2.39297e-06,-12.5950925387,1.3337403256078,0.010996862707082,8.9141503836938,3.4505272909803,0.0033658020861271,2.7283477803324,0.3049704859793,1.42397e-05,-17.329244808,-23.223282781672,-19.66014458773,24.237786157172,0.8671202612395,0.23805932973915,1.3908608991898,2.64714e-06,-12.6306857151,-15.845020661329,-17.998077872839,95.525029797794,3.4174609948304,0.76350981838456,10.935191692499,0.000182479,-24.8328483741,1.65377e-05,-17.9540608354,11.034122036317,10.411215757219,2.1352623552778,6.1354849656009,0.83484076988981,0.17121958762221,0.49198413631742,0.000182821,-27.6612233972,5.62501e-05,-30.7798343325,3.250145333075,5.9506387459935,qmof-7a7e541,0,0,0,0,0,0,0,0,3
qmof-311e4d4,AKAXOA_FSR,Cu8C96H60I8N12O24,Cu2C24H15I2N3O6,O=C(c1ccncc1)Oc1cc(OC(=O)c2ccncc2)cc(c1)OC(=O)c1ccncc1.[Cu][Cu](I)I MOFid-v1.hcb.cat1,Cu.DGRPQJPARZFUQW.MOFkey-v1.hcb,['[Cu][Cu](I)I'],['O=C(c1ccncc1)Oc1cc(OC(=O)c2ccncc2)cc(c1)OC(=O)c1ccncc1'],O=C(c1ccncc1)Oc1cc(OC(=O)c2ccncc2)cc(c1)OC(=O)c1ccncc1.[Cu][Cu](I)I,hcb,208,9.67455,10.04578,1.3389423668736216,4079.190408959184,P2,3,monoclinic,2,True,CSD,https://doi.org/10.1002/asia.201000218,PBE-D3BJ,"['Cu 22Jun2005', 'H 15Jun2001', 'C 08Apr2002', 'I 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[3, 1, 1]",True,False,-1403.31401542,-16.63027,-1386.68374542,0.0,0.713043,-0.005005,-0.718048,False,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MATWV6BASRA6M,qmof_chunks/chunk_23/qmof-311e4d4.cif,1.3416e-05,-17.8955217876,1.41196e-06,-8.921989013,1.7846892389214,0.0054196100269602,4.716781449639,5.2834260124194,0.0015081849364888,1.3125997434626,0.22669729794597,4.55548e-06,-12.2193084428,-15.951532347243,-18.11247245849,89.464313020301,2.9810455493778,0.59437131129715,4.7815970610647,1.47663e-06,-8.9292486734,-11.646148428991,-14.053291179234,142.62533162169,4.7524269253919,0.87534456569673,15.20681567552,2.84281e-05,-17.9866244614,5.00842e-06,-12.6433315594,5.6760615124131,12.026120134749,10.415450271226,18.825535146759,0.89817544603972,0.77788194265848,1.4059923930512,3.1596e-05,-20.0775740944,1.56777e-05,-26.1820845512,2.0153466388565,3.2263520213037,qmof-311e4d4,0,0,0,0,0,0,0,0,3
qmof-6d579f1,ALUKUO_FSR,Eu4C100H96N12O32S8,EuC25H24N3O8S2,[Eu].[O-]C(=O)c1ccc(cc1)[N][N]c1ccc(cc1)C(=O)[O-] MOFid-v1.pcu.cat0,Eu.NWHZQELJCLSKNV.MOFkey-v1.pcu,['[Eu]'],['[O-]C(=O)c1ccc(cc1)[N][N]c1ccc(cc1)C(=O)[O-]'],[Eu].[O-]C(=O)c1ccc(cc1)[N][N]c1ccc(cc1)C(=O)[O-],pcu,252,4.85814,6.52124,0.7449951402108478,6335.208363355952,C2/c,15,monoclinic,2/m,True,CSD,https://doi.org/10.1021/ic902194g,PBE-D3BJ,"['Eu_3 20Oct2008', 'H 15Jun2001', 'C 08Apr2002', 'S 06Sep2000', 'N 08Apr2002', 'O 08Apr2002']",520,"[1, 1, 1]",True,False,-1652.89036936,-12.51611,-1640.37425936,0.0,1.7155860000000005,-1.325724,-3.04131,True,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAT6S3QDKCFVK,qmof_chunks/chunk_17/qmof-6d579f1.cif,3.74972e-05,-17.7364590186,3.87151e-06,-9.5415258284,1.4135929059024,0.015317941469555,7.4177529832796,3.8934638547957,0.0042595279510058,2.0626874850472,0.24662407107901,1.29373e-05,-12.6548917474,-16.90274891289,-18.720468018591,119.36301764945,7.1482047782605,0.55416290774497,11.465720465744,4.08622e-06,-9.2377553837,-12.077879324537,-14.297911667623,202.20035206187,12.109022972421,0.86827250675792,38.746451711816,8.39987e-05,-18.4234991185,1.43235e-05,-12.9658254723,5.8643976681677,17.478695584963,13.405900325077,26.409933810498,2.3461210389424,1.7994400466409,3.5449385252292,0.000124062,-21.4271172955,0.000712834,-39.0602076189,0.17404051995275,3.34166772138,qmof-6d579f1,0,0,0,0,0,0,0,0,4
qmof-469b6f3,ARAJOU_FSR,Ni8C160H96N16O32,NiC20H12N2O4,[Ni].[O-]C(=O)c1cccc2c1cccn2 MOFid-v1.dia.cat1,Ni.RAYMXZBXQCGRGX.MOFkey-v1.dia,['[Ni]'],['[O-]C(=O)c1cccc2c1cccn2'],[Ni].[O-]C(=O)c1cccc2c1cccn2,dia,312,4.02968,5.47028,1.210010994263178,4424.554574707775,P4_32_12,96,tetragonal,422,True,CSD,https://doi.org/10.1002/anie.201603934,PBE-D3BJ,"['Ni 02Aug2007', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[1, 1, 1]",True,True,-2210.5763149,-21.88368,-2188.6926349,16.0,1.387539,0.713362,-0.674177,True,"[1.533952, 1.694464]","[0.859775, 0.713362]","[-0.674177, -0.981102]","[True, True]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MATJ84M68CWLZ,qmof_chunks/chunk_19/qmof-469b6f3.cif,0.00138613,-32.091967022,2.19951e-05,-19.2117758891,0.8915445750271,0.061449442672788,48.33118492628,1.3621714823363,0.048753885749886,38.345881843058,0.63574656927522,0.000249415,-25.3183627952,-27.699625518612,-24.989133055632,28.334921155407,1.044751790429,0.2034604709599,1.675781871999,2.58918e-05,-18.8302927949,-21.975983637225,-21.371722664272,79.947269412166,2.9477778462896,0.47717005880545,9.4322995534628,0.00519571,-36.3343314924,0.000311415,-25.8853170296,16.684199540806,15.381513220473,3.1849725202977,5.9681486035419,1.2711679231484,0.26321434347063,0.49322319310611,0.00833503,-35.650181847,3.57983e-05,-25.3330531003,232.83312336061,11.339571086287,qmof-469b6f3,4,4,4,4,4,4,4,0,4
qmof-051e081,BOZFAZ_FSR,Cd4C124H76N36O16,CdC31H19N9O4,[Cd].[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-].n1ccc(cc1)c1[nH]nc(n1)c1cccc(n1)c1n[nH]c(n1)c1ccncc1 MOFid-v1.pcu.cat1,Cd.PZOHHVCEVSBOLS.RXOHFPCZGPKIRD.MOFkey-v1.pcu,['[Cd]'],"['[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-]', 'n1ccc(cc1)c1[nH]nc(n1)c1cccc(n1)c1n[nH]c(n1)c1ccncc1']",[Cd].[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-].n1ccc(cc1)c1[nH]nc(n1)c1cccc(n1)c1n[nH]c(n1)c1ccncc1,pcu,256,5.51197,6.80835,1.1025529019802789,4180.601248554762,P2/c,13,monoclinic,2/m,True,CSD,,PBE-D3BJ,"['Cd 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 1, 1]",True,False,-1826.56807701,-17.1048,-1809.46327701,0.0,2.430874,0.309901,-2.120973,True,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MATMU98TCLAXD,qmof_chunks/chunk_24/qmof-051e081.cif,0.00123541,-36.6890805621,7.8503e-06,-16.7481753584,0.86237757674397,0.038168328085947,27.35411477352,1.2278783081233,0.033259504721888,23.836105878788,0.72465344288209,1.98277e-05,-17.6108245268,-21.50372826819,-21.500445153941,45.867716770308,1.8560419817216,0.3554656955198,2.9770913383167,1.09082e-05,-17.4517239745,-17.925101726905,-17.762014832922,117.50444228364,4.7548296116279,0.65999348266697,15.214503789301,0.000248215,-25.1528623236,2.42197e-05,-18.4746386486,10.248475414642,15.254549156961,6.9047013561179,12.82152885729,1.3835447324851,0.62623700591508,1.1628766298094,0.00100559,-32.975554516,1.79396e-05,-21.2474896039,56.054204107115,2.5257251315236,qmof-051e081,4,1,0,2,0,0,1,0,4
qmof-4b1ef88,BUSMUY_FSR,Co3C72H48N30,CoC24H16N10,[Co].n1ccc(cc1)C1=NN=C([N]1)c1ccccn1 MOFid-v1.nbo.cat0,Co.VLVNGJLBYJZXAI.MOFkey-v1.nbo,['[Co]'],['n1ccc(cc1)C1=NN=C([N]1)c1ccccn1'],[Co].n1ccc(cc1)C1=NN=C([N]1)c1ccccn1,nbo,153,5.88322,7.39171,1.1810246022110238,2123.297484375909,R-3,148,trigonal,-3,True,CSD,https://doi.org/10.1021/ja1009635,PBE-D3BJ,"['Co 02Aug2007', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002']",520,"[2, 1, 1]",True,True,-1103.12268082,-11.38984,-1091.73284082,3.0,0.907393,1.486065,0.578672,True,"[0.9139180000000001, 1.36742]","[1.49259, 1.486065]","[0.578672, 0.118645]","[True, False]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MATS8WRMK2BMP,qmof_chunks/chunk_4/qmof-4b1ef88.cif,1.75266e-05,-18.9091611555,2.08013e-06,-11.8949512939,1.6950899875705,0.0070636929814541,5.4226734872352,4.9658773750184,0.001965282799636,1.5087132128315,0.2237030185111,1.1582e-05,-16.4807507623,-23.072617545085,-24.364983246448,38.543780640568,1.4560482813369,0.34904360019922,2.3355014433866,2.26363e-06,-11.9046333507,-15.276299751399,-17.447013876764,82.446467743073,3.1145371747277,0.76489162458226,9.9658960522216,0.000141611,-23.8162197557,1.30416e-05,-16.9203937269,10.858406943933,8.5062509823067,3.7383047866877,7.0100600988405,0.72022784660317,0.3165238378297,0.59354473551844,9.07179e-05,-23.1294800398,1.55723e-06,-11.8218136086,58.255941639963,5.567921235692,qmof-4b1ef88,0,0,0,0,0,0,0,0,3
qmof-b0402ac,BUVXOG01_FSR,Fe3C72H48N30,FeC24H16N10,[Fe].n1ccc(cc1)C1=NN=C([N]1)c1ccccn1 MOFid-v1.nbo.cat0,Fe.VLVNGJLBYJZXAI.MOFkey-v1.nbo,['[Fe]'],['n1ccc(cc1)C1=NN=C([N]1)c1ccccn1'],[Fe].n1ccc(cc1)C1=NN=C([N]1)c1ccccn1,nbo,153,5.03489,6.58674,1.2683252492031607,1965.0183287750456,R-3,148,trigonal,-3,True,CSD,https://doi.org/10.1002/chem.201001179,PBE-D3BJ,"['Fe 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002']",520,"[2, 1, 1]",True,False,-1109.2310827,-11.80068,-1097.4304026999998,0.0,1.1915490000000002,1.768542,0.576993,False,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MATJVNJA29HWA,qmof_chunks/chunk_18/qmof-b0402ac.cif,2.05e-05,-20.3255296412,2.0719e-06,-13.0565524048,1.5944131022572,0.0076199902387547,6.2821295025609,4.5166640509439,0.0021243512208522,1.7513735661291,0.24816169890783,1.40224e-05,-18.0821965926,-24.016059464718,-24.434624978175,39.458219051326,1.387992500845,0.38288418682658,2.2263399712804,2.3527e-06,-13.0916944928,-16.548392906139,-19.882603244286,78.083352862237,2.7466801801836,0.75767173725405,8.7888272402599,0.000203824,-25.8342653197,1.62553e-05,-18.576924351,12.53892576575,7.7829536654652,5.0420796174283,6.7074208111615,0.61362823080894,0.39753061989422,0.52883043412004,0.000128637,-25.076505507,1.5489e-06,-12.6587539195,83.050552004648,6.7678942033882,qmof-b0402ac,0,0,0,0,0,0,0,0,4
qmof-19f76d2,CABJEX_FSR,Zn16C120H80N48O64S16,Zn2C15H10N6O8S2,NC1=NC(=[N]=C([N]1)N)N.[O-]C(=O)c1ccc(s1)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0,Zn.LGWHRKHKSYTACF.YCGAZNXXGKTASZ.MOFkey-v1.pcu,['[Zn][Zn]'],"['NC1=NC(=[N]=C([N]1)N)N', '[O-]C(=O)c1ccc(s1)C(=O)[O-]']",NC1=NC(=[N]=C([N]1)N)N.[O-]C(=O)c1ccc(s1)C(=O)[O-].[Zn][Zn],pcu,344,4.05154,7.75453,1.1126846115007551,7130.233389647979,Pnma,62,orthorhombic,mmm,True,CSD,https://doi.org/10.1016/j.molstruc.2015.11.045,PBE-D3BJ,"['Zn 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'S 06Sep2000', 'N 08Apr2002', 'O 08Apr2002']",520,"[1, 1, 1]",True,False,-2353.95934465,-22.26167,-2331.69767465,0.0,2.994691,0.089452,-2.905239,True,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MATV33Q9DH5NF,qmof_chunks/chunk_6/qmof-19f76d2.cif,8.31097e-05,-22.7459053034,4.81895e-06,-12.579340923,1.0993735202727,0.026176156434832,18.930674862139,2.5738408215956,0.0080386834742338,5.8136000046163,0.36274559926275,2.30802e-05,-16.6936852112,-21.018805883282,-21.055918369044,71.873913361171,2.8819116756246,0.37953826196165,4.6225863269748,5.48018e-06,-12.4344076242,-15.43470961895,-17.365850939114,170.73039567184,6.845737175854,0.76184314730272,21.904989811868,0.0,0.0,2.6977e-05,-17.1853720848,0.0,18.049960956432,6.1442554888466,11.577237148418,1.6222934116259,0.55223306149868,1.0405382923566,0.000299425,-25.4244214638,5.25016e-05,-25.2583317045,5.7031595227574,4.7894665850445,qmof-19f76d2,0,0,0,0,0,0,0,0,4
qmof-493416b,CAYBAH01_FSR,Cu6C24H24N36,CuC4H4N6,N1=CC=N[N]1.[CH]1C=NN=N1.[Cu].[N]1C=CN=N1 MOFid-v1.met.cat0,Cu.CYTYYSXXRQCAGV.MOFkey-v1.met,['[Cu]'],"['N1=CC=N[N]1', '[CH]1C=NN=N1', '[N]1C=CN=N1']",N1=CC=N[N]1.[CH]1C=NN=N1.[Cu].[N]1C=CN=N1,met,90,3.99659,5.29407,1.500617326959374,1325.6324024413552,P-1,2,triclinic,-1,True,CSD,https://doi.org/10.1039/c2dt12311h,PBE-D3BJ,"['Cu 22Jun2005', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002']",520,"[2, 2, 2]",False,True,-615.74548263,-7.3097,-608.43578263,4.0,0.100897,0.091762,-0.009135,False,"[0.6814990000000001, 0.100897]","[0.404304, 0.091762]","[-0.277195, -0.009135]","[True, False]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MATMXLNJSLTY3,qmof_chunks/chunk_24/qmof-493416b.cif,4.70077e-05,-26.9365803626,2.05032e-06,-14.8665703196,1.1777012191298,0.012665303851731,12.35394002184,2.680866767464,0.0041840044593995,4.0811448937697,0.39899517970854,9.70842e-06,-19.1224800348,-23.258585052339,-23.091631704539,39.423939328436,1.1721165687625,0.38038067965893,1.8800749762507,2.89271e-06,-14.8715322511,-17.695631272189,-18.777464684509,98.022337070552,2.9143106281707,0.73084568937961,9.3252111478289,0.0,0.0,1.64153e-05,-20.1033959424,0.0,9.9880667436274,2.5114995638813,4.0433287187503,0.66558713239867,0.16736189651624,0.26944028672768,0.000149136,-27.2597374713,1.84417e-06,-13.4757346951,80.868900372525,4.7350755004097,qmof-493416b,0,0,0,0,0,0,0,0,2
qmof-41f5a4b,CIGYUP_FSR,Zn4C76H48N8O20,ZnC19H12N2O5,[O-]C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)[O-].[Zn][Zn].c1ccc(cn1)[N][N]c1cccnc1 MOFid-v1.mab.cat0,Zn.WVDRSXGPQWNUBN.YKROEKFLSMDUSV.MOFkey-v1.mab,['[Zn][Zn]'],"['[O-]C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)[O-]', 'c1ccc(cn1)[N][N]c1cccnc1']",[O-]C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)[O-].[Zn][Zn].c1ccc(cn1)[N][N]c1cccnc1,mab,156,4.16495,5.56587,1.195898876926838,2297.835984628543,P2_1/c,14,monoclinic,2/m,True,CSD,https://doi.org/10.1002/ejic.201800336,PBE-D3BJ,"['Zn 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 2, 1]",True,False,-1079.83791803,-10.66181,-1069.17610803,0.0,1.678379,-0.25019,-1.928569,False,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MATZY623EVPPQ,qmof_chunks/chunk_19/qmof-41f5a4b.cif,0.000315201,-28.2315388821,8.9166e-06,-16.5821418821,0.92910286069058,0.046188434086915,35.902685511666,1.6979544491581,0.020981405910566,16.309035646936,0.524418407774,7.97902e-05,-22.177320531,-25.83020386953,-23.555937741638,52.12258211897,1.9445189638715,0.37536111855966,3.1190084181863,9.94611e-06,-16.1796954604,-19.365595852768,-20.869646304657,98.166589960719,3.6622666805247,0.62149262234277,11.718520924845,0.0,0.0,9.43759e-05,-22.6216831528,0.0,13.383921652303,2.753672072618,4.2801860184673,1.1191880029688,0.23026709419313,0.3579169817928,0.00156583,-31.2059169427,1.74483e-05,-22.1232456365,89.741120911493,8.9485005495368,qmof-41f5a4b,1,1,1,1,0,1,2,0,4
