qmof_id,name_x,info.formula,info.formula_reduced,info.mofid.mofid,info.mofid.mofkey,info.mofid.smiles_nodes,info.mofid.smiles_linkers,info.mofid.smiles,info.mofid.topology,info.natoms,info.pld,info.lcd,info.density,info.volume,info.symmetry.spacegroup,info.symmetry.spacegroup_number,info.symmetry.spacegroup_crystal,info.symmetry.pointgroup,info.synthesized,info.source,info.doi,inputs.pbe.theory,inputs.pbe.pseudopotentials,inputs.pbe.encut,inputs.pbe.kpoints,inputs.pbe.gamma,inputs.pbe.spin,outputs.pbe.energy_total,outputs.pbe.energy_vdw,outputs.pbe.energy_elec,outputs.pbe.net_magmom,outputs.pbe.bandgap,outputs.pbe.cbm,outputs.pbe.vbm,outputs.pbe.directgap,outputs.pbe.bandgap_spins,outputs.pbe.cbm_spins,outputs.pbe.vbm_spins,outputs.pbe.directgap_spins,inputs.hle17.theory,inputs.hle17.pseudopotentials,inputs.hle17.encut,inputs.hle17.kpoints,inputs.hle17.gamma,inputs.hle17.spin,inputs.hse06_10hf.theory,inputs.hse06_10hf.pseudopotentials,inputs.hse06_10hf.encut,inputs.hse06_10hf.kpoints,inputs.hse06_10hf.gamma,inputs.hse06_10hf.spin,inputs.hse06.theory,inputs.hse06.pseudopotentials,inputs.hse06.encut,inputs.hse06.kpoints,inputs.hse06.gamma,inputs.hse06.spin,outputs.hle17.energy_total,outputs.hle17.energy_vdw,outputs.hle17.energy_elec,outputs.hle17.net_magmom,outputs.hle17.bandgap,outputs.hle17.cbm,outputs.hle17.vbm,outputs.hle17.directgap,outputs.hle17.bandgap_spins,outputs.hle17.cbm_spins,outputs.hle17.vbm_spins,outputs.hle17.directgap_spins,outputs.hse06_10hf.energy_total,outputs.hse06_10hf.energy_vdw,outputs.hse06_10hf.energy_elec,outputs.hse06_10hf.net_magmom,outputs.hse06_10hf.bandgap,outputs.hse06_10hf.cbm,outputs.hse06_10hf.vbm,outputs.hse06_10hf.directgap,outputs.hse06_10hf.bandgap_spins,outputs.hse06_10hf.cbm_spins,outputs.hse06_10hf.vbm_spins,outputs.hse06_10hf.directgap_spins,outputs.hse06.energy_total,outputs.hse06.energy_vdw,outputs.hse06.energy_elec,outputs.hse06.net_magmom,outputs.hse06.bandgap,outputs.hse06.cbm,outputs.hse06.vbm,outputs.hse06.directgap,outputs.hse06.bandgap_spins,outputs.hse06.cbm_spins,outputs.hse06.vbm_spins,outputs.hse06.directgap_spins,id,name_y,CO2 Henry coefficient,CO2 adsorption energy,N2 Henry coefficient,N2 adsorption energy,CO2 parasitic energy (coal),Gravimetric working capacity (coal),Volumetric working capacity (coal),CO2 parasitic energy (nat. gas),Gravimetric working capacity (nat. gas),Volumetric working capacity (nat. gas),Final CO2 purity (nat. gas),CH4 Henry coefficient,CH4 adsorption energy,"Enthalphy of Adsorption @ 5.8 bar, 298K",Enthalphy of Adsorption @ 65bar/298K,Working capacity vol. (5.8-65bar/298K),Working capacity mol. (5.8-65bar/298K),Working capacity fract. (5.8-65bar/298K),Working capacity wt% (5.8-65bar/298K),O2 Henry coefficient,O2 adsorption energy,"Enthalphy of Adsorption @ 5 bar, 298K",Enthalphy of Adsorption @ 140bar/298K,Working capacity vol. (5-140bar/298K),Working capacity mol. (5-140bar/298K),Working capacity fract. (5-140bar/298K),Working capacity wt% (5-140bar/298K),Xe Henry coefficient,Xe adsorption energy,Kr Henry coefficient,Kr adsorption energy,Xe/Kr selectivity @ 298K,Working capacity g/L (5-100bar/298-198K),Working capacity g/L (5-100bar/77K),Working capacity g/L (1-100bar/77K),Working capacity wt% (5-100bar/298-198K),Working capacity wt% (5-100bar/77K),Working capacity wt% (1-100bar/77K),H2S Henry coefficient,H2S adsorption energy,H2O Henry coefficient,H2O adsorption energy,H2S/H2O selectivity @ 298K,CH4/N2 selectivity @ 298K,clean_name
qmof-9883029,ABIWAL_FSR,Cd2C56H52N16O8,CdC28H26N8O4,[Cd].n1cc([nH]c1)c1ccc(cc1)c1[nH]cnc1 MOFid-v1.sql.cat1,Cd.POSVDPHCDPQXKI.MOFkey-v1.sql,['[Cd]'],['n1cc([nH]c1)c1ccc(cc1)c1[nH]cnc1'],[Cd].n1cc([nH]c1)c1ccc(cc1)c1[nH]cnc1,sql,134,1.13178,2.11419,1.573801968553405,1373.6902294377371,P2_1/c,14,monoclinic,2/m,True,CSD,,PBE-D3BJ,"['Cd 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 1, 1]",True,False,-900.83688678,-10.06627,-890.77061678,0.0,2.679965,2.81411,0.134145,True,"[None, None]","[None, None]","[None, None]","[None, None]",HLE17//PBE-D3BJ,"['Cd 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520.0,"[2, 1, 1]",True,False,HSE06-D3BJ-HF10//PBE-D3BJ,"['Cd 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520.0,"[2, 1, 1]",True,False,HSE06-D3BJ//PBE-D3BJ,"['Cd 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520.0,"[2, 1, 1]",True,False,-6100.89538185,0.0,-6100.89538185,0.0,2.855956,1.213072,-1.642884,True,"[None, None]","[None, None]","[None, None]","[None, None]",-960.86061484,-8.89194,-951.96867484,0.0,3.009906,2.960539,-0.049367,True,"[None, None]","[None, None]","[None, None]","[None, None]",-1053.51246976,-8.89194,-1044.62052976,0.0,3.511018,3.183242,-0.327776,True,"[None, None]","[None, None]","[None, None]","[None, None]",MATYLS3XNVG9N,qmof_chunks/chunk_11/qmof-9883029.cif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,qmof-9883029
qmof-7a7e541,ACAJOF_FSR,Cu8C92H104N8O32,Cu2C23H26N2O8,C(Cc1ccncc1)Cc1ccncc1.[Cu][Cu].[O-]C(=O)CCCC(=O)[O-] MOFid-v1.rob.cat0,Cu.JFCQEDHGNNZCLN.OGNCVVRIKNGJHQ.MOFkey-v1.rob,['[Cu][Cu]'],"['C(Cc1ccncc1)Cc1ccncc1', '[O-]C(=O)CCCC(=O)[O-]']",C(Cc1ccncc1)Cc1ccncc1.[Cu][Cu].[O-]C(=O)CCCC(=O)[O-],rob,244,5.71608,6.31984,1.2470793457951186,3118.755411414031,Pccn,56,orthorhombic,mmm,True,CSD,https://doi.org/10.1039/c2dt31427d,PBE-D3BJ,"['Cu 22Jun2005', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 1, 1]",True,True,-1545.09274774,-16.27973,-1528.81301774,0.0,0.392395,-0.220421,-0.612816,False,"[0.392397, 0.39253499999999997]","[-0.220419, -0.220421]","[-0.612816, -0.612956]","[False, False]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MATV3NGX7YZDJ,qmof_chunks/chunk_19/qmof-7a7e541.cif,3.14232e-05,-22.6913326796,2.39297e-06,-12.5950925387,1.3337403256078,0.010996862707082,8.9141503836938,3.4505272909803,0.0033658020861271,2.7283477803324,0.3049704859793,1.42397e-05,-17.329244808,-23.223282781672,-19.66014458773,24.237786157172,0.8671202612395,0.23805932973915,1.3908608991898,2.64714e-06,-12.6306857151,-15.845020661329,-17.998077872839,95.525029797794,3.4174609948304,0.76350981838456,10.935191692499,0.000182479,-24.8328483741,1.65377e-05,-17.9540608354,11.034122036317,10.411215757219,2.1352623552778,6.1354849656009,0.83484076988981,0.17121958762221,0.49198413631742,0.000182821,-27.6612233972,5.62501e-05,-30.7798343325,3.250145333075,5.9506387459935,qmof-7a7e541
qmof-88d81f2,ACAKEX_FSR,Cu4C48Cl8H40N8O24,CuC12Cl2H10N2O6,[Cu].[O-]C(=O)c1cc(Cl)cnc1 MOFid-v1.pts.cat0,Cu.XYLPLVUYPAPCML.MOFkey-v1.pts,['[Cu]'],['[O-]C(=O)c1cc(Cl)cnc1'],[Cu].[O-]C(=O)c1cc(Cl)cnc1,pts,132,1.01743,2.70106,1.765248754761708,1552.7647093357064,C2/c,15,monoclinic,2/m,True,CSD,https://doi.org/10.1002/chem.201702405,PBE-D3BJ,"['Cu 22Jun2005', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'Cl 06Sep2000', 'O 08Apr2002']",520,"[2, 2, 1]",True,True,-854.28772393,-11.04663,-843.2410939299999,0.0,0.752596,1.103885,0.351289,True,"[0.782905, 0.776573]","[1.103885, 1.127862]","[0.32098, 0.351289]","[False, False]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MATJG6KSCUN68,qmof_chunks/chunk_10/qmof-88d81f2.cif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,qmof-88d81f2
qmof-56a3cc3,ACEKOK_FSR,Cd2C36H30N10O10,CdC18H15N5O5,C1=N[CH]N([N]1)Cc1nc2c([nH]1)cccc2.[O-]C(=O)c1ccc(cc1)C(=O)[O-].[OH2][Cd] MOFid-v1.hcb.cat0,Cd.KKEYFWRCBNTPAC.QTGTWRQAEQEXKD.MOFkey-v1.hcb,['[OH2][Cd]'],"['C1=N[CH]N([N]1)Cc1nc2c([nH]1)cccc2', '[O-]C(=O)c1ccc(cc1)C(=O)[O-]']",C1=N[CH]N([N]1)Cc1nc2c([nH]1)cccc2.[O-]C(=O)c1ccc(cc1)C(=O)[O-].[OH2][Cd],hcb,88,4.06052,5.94027,1.353293055033303,1211.705734850736,P-1,2,triclinic,-1,True,CSD,https://doi.org/10.5560/znb.2012-0159,PBE-D3BJ,"['Cd 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 2, 2]",False,False,-596.48171612,-6.18875,-590.29296612,0.0,2.806239,1.062456,-1.743783,False,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MATKDHKZZZWA2,qmof_chunks/chunk_6/qmof-56a3cc3.cif,0.000114547,-26.9824120822,4.03205e-06,-14.8126300543,1.0148623873001,0.024446072635608,21.504024463022,2.0398393210765,0.0093794136376629,8.2506152754906,0.46590208234889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18233e-06,-14.3557574583,-17.574545908059,-18.285032301514,78.030881872393,2.5724962693242,0.6699557333587,8.231473562406,0.0,0.0,3.34052e-05,-20.0963298235,0.0,10.695904122985,3.6798195392429,6.8617506868254,0.79035136982549,0.27191253587448,0.50703465479642,0.000537586,-29.635106476,0.000455452,-40.716743405,1.1803351395976,0.0,qmof-56a3cc3
qmof-7943fa6,ACUBOP01_FSR,Cd4C48H32N8O16,CdC12H8N2O4,[Cd].[O-]C(=O)c1cccnc1 MOFid-v1.sql.cat0,Cd.PVNIIMVLHYAWGP.MOFkey-v1.sql,['[Cd]'],['[O-]C(=O)c1cccnc1'],[Cd].[O-]C(=O)c1cccnc1,sql,108,1.23549,2.16707,1.9633822669433705,1206.4310772761949,P2_1/c,14,monoclinic,2/m,True,CSD,https://doi.org/10.1016/S1387-7003(02)00336-2,PBE-D3BJ,"['Cd 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 2, 1]",True,False,-739.71630225,-9.11306,-730.60324225,0.0,3.002738,2.325468,-0.67727,True,"[None, None]","[None, None]","[None, None]","[None, None]",HLE17//PBE-D3BJ,"['Cd 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520.0,"[1, 1, 1]",True,False,HSE06-D3BJ-HF10//PBE-D3BJ,"['Cd 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520.0,"[1, 1, 1]",True,False,HSE06-D3BJ//PBE-D3BJ,"['Cd 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520.0,"[1, 1, 1]",True,False,-7736.19283204,0.0,-7736.19283204,0.0,3.786362,0.700563,-3.085799,True,"[None, None]","[None, None]","[None, None]","[None, None]",-791.95578909,-8.33054,-783.62524909,0.0,3.708924,2.507315,-1.201609,True,"[None, None]","[None, None]","[None, None]","[None, None]",-872.43362238,-8.33054,-864.1030823799999,0.0,4.654831,2.766759,-1.888072,True,"[None, None]","[None, None]","[None, None]","[None, None]",MAT4AA8UKBJEW,qmof_chunks/chunk_1/qmof-7943fa6.cif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,qmof-7943fa6
qmof-2d76250,ACUGEL_FSR,CsC10H11N4O10,CsC10H11N4O10,OC(=O)c1c[nH]c(=O)[nH]c1=O.[O-]C(=O)c1c[nH]c(=O)[nH]c1=O.[OH2][Cs][OH2] MOFid-v1.sql.cat0,Cs.ZXYAAVBXHKCJJB.MOFkey-v1.sql,['[OH2][Cs][OH2]'],"['OC(=O)c1c[nH]c(=O)[nH]c1=O', '[O-]C(=O)c1c[nH]c(=O)[nH]c1=O']",OC(=O)c1c[nH]c(=O)[nH]c1=O.[O-]C(=O)c1c[nH]c(=O)[nH]c1=O.[OH2][Cs][OH2],sql,36,0.84474,1.43519,2.171570082883385,367.1348236988393,P-1,2,triclinic,-1,True,CSD,https://doi.org/10.1016/j.poly.2005.12.013,PBE-D3BJ,"['Cs_sv 08Apr2002', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[4, 2, 2]",False,False,-242.75745253,-2.96793,-239.78952253,0.0,3.3139920000000003,2.966565,-0.347427,False,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MATZDPKVJ5Z4M,qmof_chunks/chunk_1/qmof-2d76250.cif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,qmof-2d76250
qmof-cd1c2f7,ADINOT_FSR,Sm2C22H20N6O18,SmC11H10N3O9,[O-]C=O.[O-][n+]1ccc(cc1)c1nc(c([nH]1)C(=O)[O-])C(=O)[O-].[OH2][Sm][OH2] MOFid-v1.sql.cat0,Sm.BDAGIHXWWSANSR.FSRDOTRVEDZWTB.MOFkey-v1.sql,['[OH2][Sm][OH2]'],"['[O-]C=O', '[O-][n+]1ccc(cc1)c1nc(c([nH]1)C(=O)[O-])C(=O)[O-]']",[O-]C=O.[O-][n+]1ccc(cc1)c1nc(c([nH]1)C(=O)[O-])C(=O)[O-].[OH2][Sm][OH2],sql,68,0.72289,1.88002,2.4786931562771284,641.2146401103247,P-1,2,triclinic,-1,True,CSD,https://doi.org/10.1080/00958972.2016.1209190,PBE-D3BJ,"['Sm_3 07Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[3, 2, 1]",True,False,-473.95221515,-6.33504,-467.61717515,0.0,2.362059,3.013916,0.651857,False,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MATJTMAFUAVSC,qmof_chunks/chunk_23/qmof-cd1c2f7.cif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,qmof-cd1c2f7
qmof-00b509c,AFEBAQ_FSR,Zn4C56H48N8O20,ZnC14H12N2O5,[O-]C(=O)c1cc(NCc2ccccn2)cc(c1)C(=O)[O-].[OH2][Zn] MOFid-v1.fes.cat0,Zn.MELGZNHCGWKJDQ.MOFkey-v1.fes,['[OH2][Zn]'],['[O-]C(=O)c1cc(NCc2ccccn2)cc(c1)C(=O)[O-]'],[O-]C(=O)c1cc(NCc2ccccn2)cc(c1)C(=O)[O-].[OH2][Zn],fes,136,2.33651,3.21518,1.544134587255531,1521.3018097148276,P2_1/c,14,monoclinic,2/m,True,CSD,https://doi.org/10.5560/ZNB.2013-3166,PBE-D3BJ,"['Zn 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 2, 1]",True,False,-907.04716995,-10.34502,-896.70214995,0.0,2.283617,1.990105,-0.293512,False,"[None, None]","[None, None]","[None, None]","[None, None]",HLE17//PBE-D3BJ,"['Zn 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520.0,"[2, 1, 1]",True,False,HSE06-D3BJ-HF10//PBE-D3BJ,"['Zn 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520.0,"[2, 1, 1]",True,False,HSE06-D3BJ//PBE-D3BJ,"['Zn 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520.0,"[2, 1, 1]",True,False,-6265.96338145,0.0,-6265.96338145,0.0,2.624653,0.382231,-2.242422,True,"[None, None]","[None, None]","[None, None]","[None, None]",-970.20195235,-9.0077,-961.19425235,0.0,2.7580020000000003,2.181646,-0.576356,False,"[None, None]","[None, None]","[None, None]","[None, None]",-1068.02311484,-9.0077,-1059.0154148400002,0.0,3.452897,2.469833,-0.983064,False,"[None, None]","[None, None]","[None, None]","[None, None]",MATQ7GZWRWN3A,qmof_chunks/chunk_13/qmof-00b509c.cif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,qmof-00b509c
qmof-2023658,AFOSIY_FSR,Zn4C48H52N4O20,ZnC12H13NO5,[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][Zn] MOFid-v1.sql.cat0,Zn.KKEYFWRCBNTPAC.MOFkey-v1.sql,['[Zn][Zn]'],['[O-]C(=O)c1ccc(cc1)C(=O)[O-]'],[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][Zn],sql,128,1.25102,2.31323,1.6063820329551055,1309.2782483621977,C2/c,15,monoclinic,2/m,True,CSD,https://doi.org/10.1039/b718995h,PBE-D3BJ,"['Zn 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 2, 1]",True,False,-816.06153229,-9.16018,-806.90135229,0.0,2.952756,2.117826,-0.83493,False,"[None, None]","[None, None]","[None, None]","[None, None]",HLE17//PBE-D3BJ,"['Zn 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520.0,"[1, 1, 1]",True,False,HSE06-D3BJ-HF10//PBE-D3BJ,"['Zn 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520.0,"[1, 1, 1]",True,False,HSE06-D3BJ//PBE-D3BJ,"['Zn 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520.0,"[1, 1, 1]",True,False,-5735.6735022,0.0,-5735.6735022,0.0,3.709444,0.419391,-3.290053,True,"[None, None]","[None, None]","[None, None]","[None, None]",-873.00589226,-8.03592,-864.96997226,0.0,3.617293,2.274376,-1.342917,True,"[None, None]","[None, None]","[None, None]","[None, None]",-961.17690024,-8.03592,-953.14098024,0.0,4.602255,2.497769,-2.104486,True,"[None, None]","[None, None]","[None, None]","[None, None]",MAT76D6H7FCDM,qmof_chunks/chunk_22/qmof-2023658.cif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,qmof-2023658
qmof-137f330,AGOSOE_FSR,Cu2C80H84N24O8,CuC40H42N12O4,[Cu].c1ncn(c1)Cc1cc(cc(c1)Cn1cncc1)Cn1cncc1 MOFid-v1.sql.cat0,Cu.FWCAOVHHIHUHLD.MOFkey-v1.sql,['[Cu]'],['c1ncn(c1)Cc1cc(cc(c1)Cn1cncc1)Cn1cncc1'],[Cu].c1ncn(c1)Cc1cc(cc(c1)Cn1cncc1)Cn1cncc1,sql,198,2.45707,3.07171,1.3203450068034832,2058.4938846676114,P2_1/c,14,monoclinic,2/m,True,CSD,https://doi.org/10.1039/b201446g,PBE-D3BJ,"['Cu 22Jun2005', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 1, 1]",True,True,-1300.38639671,-14.15905,-1286.22734671,0.0,0.84676,1.146201,0.299441,False,"[0.8472660000000001, 0.8467979999999999]","[1.146201, 1.146239]","[0.298935, 0.299441]","[False, False]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MATMXYKHKK685,qmof_chunks/chunk_1/qmof-137f330.cif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,qmof-137f330
