,smiles,string,deltaGmin,deltaGmin,deltaGmin,A2_normalized,A2_normalized,num_[W],max_[W],num_[Tr],max_[Tr],num_[Ta],max_[Ta],num_[R],max_[R],[W],[W],[Tr],[Tr],[Ta],[Ta],[R],[R],rel_shannon,length
0,[W][Ta][Tr][W][W][Ta][Ta][Ta][R][W][Tr][Tr][R][R][Tr][R],W-A-B-W-W-A-A-A-R-W-B-B-R-R-B-R,0.0,0.0,-7.535286244444447,-0.1097263175607107,0.022230485858048,0.25,2,0.25,2,0.25,3,0.25,2,4.0,0.25,4.0,0.25,4.0,0.25,4.0,0.25,0.5,16
1,[R][W][W][R][R][Tr][Tr][Tr][Ta][Ta][Ta][W][W][Ta][R][Tr],R-W-W-R-R-B-B-B-A-A-A-W-W-A-R-B,0.0,0.0,-7.270527222222221,0.5805952964673528,0.1331602020131611,0.4,2,0.2,3,0.2,3,0.2,2,4.0,0.25,4.0,0.25,4.0,0.25,4.0,0.25,0.5,16
2,[Ta][R][Ta][W][Tr][W][Ta][R][Tr][W][Ta][Tr][Tr][R][W][R],A-R-A-W-B-W-A-R-B-W-A-B-B-R-W-R,0.0,0.0,-6.416311311111111,0.956320032391147,0.1444033844884094,0.0,0,1.0,2,0.0,0,0.0,0,4.0,0.25,4.0,0.25,4.0,0.25,4.0,0.25,0.5,16
3,[W][Ta][R][Ta][Tr][Tr][Tr][W][Ta][W][Tr][R][Ta][W][R][R],W-A-R-A-B-B-B-W-A-W-B-R-A-W-R-R,0.0,0.0,-6.684815644444439,1.129923764188148,0.3710177532229578,0.0,0,0.5,3,0.0,0,0.5,2,4.0,0.25,4.0,0.25,4.0,0.25,4.0,0.25,0.5,16
4,[R][R][Tr][Tr][W][R][Ta][W][R][W][Ta][Tr][Ta][Ta][W][Tr],R-R-B-B-W-R-A-W-R-W-A-B-A-A-W-B,0.0,0.0,-6.606492355555552,-0.4964394056773314,0.0270486668789919,0.0,0,0.3333333333333333,2,0.3333333333333333,2,0.3333333333333333,2,4.0,0.25,4.0,0.25,4.0,0.25,4.0,0.25,0.5,16
5,[W][Tr][Tr][Ta][W][Ta][W][W][Ta][R][W][R][Tr][R][W][Tr][Ta][R],W-B-B-A-W-A-W-W-A-R-W-R-B-R-W-B-A-R,0.0,0.0,-6.210183644444443,0.0323051751912103,0.0357322167553635,0.5,2,0.5,2,0.0,0,0.0,0,6.0,0.3333333333333333,4.0,0.2222222222222222,4.0,0.2222222222222222,4.0,0.2222222222222222,0.4736146334811361,18
6,[W][W][Tr][W][R][Tr][R][Ta][W][Tr][Ta][Ta][W][R][W][Tr][Ta][R],W-W-B-W-R-B-R-A-W-B-A-A-W-R-W-B-A-R,0.0,0.0,-6.616805355555557,0.6294408662898847,0.2868854329422506,0.5,2,0.0,0,0.5,2,0.0,0,6.0,0.3333333333333333,4.0,0.2222222222222222,4.0,0.2222222222222222,4.0,0.2222222222222222,0.4736146334811361,18
7,[Tr][Tr][Ta][Tr][Ta][W][R][W][R][W][Tr][R][W][Ta][W][W][Ta][R],B-B-A-B-A-W-R-W-R-W-B-R-W-A-W-W-A-R,0.0,0.0,-5.5528067555555545,0.4422233381172772,0.0960880460819225,0.5,2,0.5,2,0.0,0,0.0,0,6.0,0.3333333333333333,4.0,0.2222222222222222,4.0,0.2222222222222222,4.0,0.2222222222222222,0.4736146334811361,18
8,[R][W][R][Ta][R][Ta][Tr][W][W][W][Tr][Tr][W][W][Ta][Tr][Ta][R],R-W-R-A-R-A-B-W-W-W-B-B-W-W-A-B-A-R,0.0,0.0,-6.361648266666666,-0.1792139990487785,0.0430554491688771,0.6666666666666666,3,0.3333333333333333,2,0.0,0,0.0,0,6.0,0.3333333333333333,4.0,0.2222222222222222,4.0,0.2222222222222222,4.0,0.2222222222222222,0.4736146334811361,18
9,[Tr][Tr][W][W][Tr][W][R][Ta][Ta][Tr][Ta][W][Ta][R][R][R][W][W],B-B-W-W-B-W-R-A-A-B-A-W-A-R-R-R-W-W,0.0,0.0,-6.6253376444444445,0.0984987534594572,0.2228414742353963,0.4,2,0.2,2,0.2,2,0.2,3,6.0,0.3333333333333333,4.0,0.2222222222222222,4.0,0.2222222222222222,4.0,0.2222222222222222,0.4736146334811361,18
10,[R][W][R][R][Tr][W][Ta][W][R][Ta][Ta][W][W][W][Tr][Tr][W][Tr][W][Ta],R-W-R-R-B-W-A-W-R-A-A-W-W-W-B-B-W-B-W-A,0.0,0.0,-5.746780800000008,0.2697963038451368,0.0896596858311808,0.25,3,0.25,2,0.25,2,0.25,2,8.0,0.4,4.0,0.2,4.0,0.2,4.0,0.2,0.4446922884165779,20
11,[W][R][W][Tr][R][R][W][W][Tr][W][W][Tr][Ta][Ta][Tr][W][W][Ta][R][Ta],W-R-W-B-R-R-W-W-B-W-W-B-A-A-B-W-W-A-R-A,0.0,0.0,-6.199177400000003,0.4412093918849453,0.1970805337992193,0.6,2,0.0,0,0.2,2,0.2,2,8.0,0.4,4.0,0.2,4.0,0.2,4.0,0.2,0.4446922884165779,20
12,[W][W][W][Tr][R][R][Ta][Ta][W][W][W][Ta][W][Tr][Ta][R][Tr][Tr][R][W],W-W-W-B-R-R-A-A-W-W-W-A-W-B-A-R-B-B-R-W,0.0,0.0,-5.725815511111109,0.2218092344808616,0.0712573328900091,0.4,3,0.2,2,0.2,2,0.2,2,8.0,0.4,4.0,0.2,4.0,0.2,4.0,0.2,0.4446922884165779,20
13,[Ta][W][W][Tr][Tr][Tr][R][R][Tr][R][Ta][W][W][Ta][R][W][W][W][W][Ta],A-W-W-B-B-B-R-R-B-R-A-W-W-A-R-W-W-W-W-A,0.0,0.0,-6.108037400000004,0.3296570298322505,0.2141257173547293,0.6,4,0.2,3,0.0,0,0.2,2,8.0,0.4,4.0,0.2,4.0,0.2,4.0,0.2,0.4446922884165779,20
14,[R][W][W][W][Ta][W][Ta][Tr][Ta][W][Tr][R][W][Ta][Tr][W][R][W][Tr][R],R-W-W-W-A-W-A-B-A-W-B-R-W-A-B-W-R-W-B-R,0.0,0.0,-5.098399777777773,-0.0102433593831278,0.0571145699169541,1.0,3,0.0,0,0.0,0,0.0,0,8.0,0.4,4.0,0.2,4.0,0.2,4.0,0.2,0.4446922884165779,20
15,[W][R][W][R][W][Ta][W][Tr][W][Tr][R][Tr][W][R][W][Ta][Tr][Ta][W][W][Ta][W],W-R-W-R-W-A-W-B-W-B-R-B-W-R-W-A-B-A-W-W-A-W,0.0,0.0,-3.827768777777778,0.0502497791909191,0.0753503167400396,1.0,2,0.0,0,0.0,0,0.0,0,10.0,0.4545454545454545,4.0,0.1818181818181818,4.0,0.1818181818181818,4.0,0.1818181818181818,0.4167695282293055,22
16,[R][R][R][Tr][W][W][W][Ta][Tr][W][Tr][Ta][W][R][W][Tr][Ta][W][Ta][W][W][W],R-R-R-B-W-W-W-A-B-W-B-A-W-R-W-B-A-W-A-W-W-W,0.0,0.0,-5.153167333333335,0.4527680956373901,0.1525321481220514,0.6666666666666666,3,0.0,0,0.0,0,0.3333333333333333,3,10.0,0.4545454545454545,4.0,0.1818181818181818,4.0,0.1818181818181818,4.0,0.1818181818181818,0.4167695282293055,22
17,[Ta][Tr][W][W][R][Tr][W][W][Ta][W][R][W][W][W][Tr][W][W][R][Tr][Ta][Ta][R],A-B-W-W-R-B-W-W-A-W-R-W-W-W-B-W-W-R-B-A-A-R,0.0,0.0,-5.229208244444444,0.1339368776968274,0.0892228809849863,0.8,3,0.0,0,0.2,2,0.0,0,10.0,0.4545454545454545,4.0,0.1818181818181818,4.0,0.1818181818181818,4.0,0.1818181818181818,0.4167695282293055,22
18,[R][W][R][W][Ta][Tr][Tr][W][Tr][Tr][W][Ta][W][R][Ta][W][W][R][Ta][W][W][W],R-W-R-W-A-B-B-W-B-B-W-A-W-R-A-W-W-R-A-W-W-W,0.0,0.0,-4.6992663111111135,0.6949381359139037,0.3062242560337218,0.5,3,0.5,2,0.0,0,0.0,0,10.0,0.4545454545454545,4.0,0.1818181818181818,4.0,0.1818181818181818,4.0,0.1818181818181818,0.4167695282293055,22
19,[Ta][W][Tr][R][W][Tr][Ta][W][W][R][Tr][W][W][W][R][W][W][Ta][W][Ta][R][Tr],A-W-B-R-W-B-A-W-W-R-B-W-W-W-R-W-W-A-W-A-R-B,0.0,0.0,-4.295751511111112,0.3274691632148223,0.1147930225684745,1.0,3,0.0,0,0.0,0,0.0,0,10.0,0.4545454545454545,4.0,0.1818181818181818,4.0,0.1818181818181818,4.0,0.1818181818181818,0.4167695282293055,22
20,[W][R][Tr][W][W][R][Ta][W][Tr][W][W][R][W][Ta][W][Tr][W][Ta][Tr][W][W][R][W][Ta],W-R-B-W-W-R-A-W-B-W-W-R-W-A-W-B-W-A-B-W-W-R-W-A,0.0,0.0,-3.035130800000002,0.4282999210354526,0.2850360078405086,1.0,2,0.0,0,0.0,0,0.0,0,12.0,0.5,4.0,0.1666666666666666,4.0,0.1666666666666666,4.0,0.1666666666666666,0.3909478540072341,24
21,[W][Ta][R][W][W][Tr][W][Ta][W][Ta][Tr][W][W][R][W][Ta][Tr][R][W][W][R][W][W][Tr],W-A-R-W-W-B-W-A-W-A-B-W-W-R-W-A-B-R-W-W-R-W-W-B,0.0,0.0,-3.7942442444444455,-0.0378325740192017,0.0565401387646325,1.0,2,0.0,0,0.0,0,0.0,0,12.0,0.5,4.0,0.1666666666666666,4.0,0.1666666666666666,4.0,0.1666666666666666,0.3909478540072341,24
22,[Ta][W][W][Ta][W][R][Tr][W][W][R][Ta][Tr][Ta][Tr][W][W][R][W][W][Tr][W][W][R][W],A-W-W-A-W-R-B-W-W-R-A-B-A-B-W-W-R-W-W-B-W-W-R-W,0.0,0.0,-3.750494555555555,-0.049280659081412,0.0878997806369814,1.0,2,0.0,0,0.0,0,0.0,0,12.0,0.5,4.0,0.1666666666666666,4.0,0.1666666666666666,4.0,0.1666666666666666,0.3909478540072341,24
23,[R][R][W][Tr][W][W][W][Tr][Ta][W][Ta][W][Tr][R][W][W][Ta][W][Tr][W][R][Ta][W][W],R-R-W-B-W-W-W-B-A-W-A-W-B-R-W-W-A-W-B-W-R-A-W-W,0.0,0.0,-3.6235692,0.3118827822273782,0.1801474786243648,0.75,3,0.0,0,0.0,0,0.25,2,12.0,0.5,4.0,0.1666666666666666,4.0,0.1666666666666666,4.0,0.1666666666666666,0.3909478540072341,24
